"","source","destination","weight","NodeID","alias.S","ip.S","continent.S","country.S","region","city.S","Lat.S","Lng.S","source","destination","weight","NodeID","alias.D","ip.D","continent.D","country.D","region.D","city.D","Lat.S","Lng.s"
"1","03b7d8b6bbaf02239277ed32378d50d29840292b61d516d30057b74044992c93dd","020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e",1000,"03b7d8b6bbaf02239277ed32378d50d29840292b61d516d30057b74044992c93dd","ALIBABA","173.212.218.204","North America","United States","New Jersey","Newark",40.735657,-74.1723667,"03b7d8b6bbaf02239277ed32378d50d29840292b61d516d30057b74044992c93dd","020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e",1000,"020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e","E-PARA.NET","173.249.28.20","North America","United States","New Jersey","Harrington Park",-34.02769,150.73081
"2","026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162","0357712cde38c9e82044ce5070473585e35dcb6069014a7e31a28968f5d839bab4",1000,"026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162","lightning.nicolas-dorier.com","52.166.90.122","North America","United States","Delaware","Wilmington",34.2257255,-77.9447102,"026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162","0357712cde38c9e82044ce5070473585e35dcb6069014a7e31a28968f5d839bab4",1000,"0357712cde38c9e82044ce5070473585e35dcb6069014a7e31a28968f5d839bab4","Yerevan","97.90.42.34","North America","United States","New Jersey","Bedminster",51.439717,-2.6008973
"3","026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162","03cb9bec8ac2d1f1e51422977139468e17cbc61109afc5c476897e9346bc5d3eac",1000,"026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162","lightning.nicolas-dorier.com","52.166.90.122","North America","United States","Delaware","Wilmington",34.2257255,-77.9447102,"026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162","03cb9bec8ac2d1f1e51422977139468e17cbc61109afc5c476897e9346bc5d3eac",1000,"03cb9bec8ac2d1f1e51422977139468e17cbc61109afc5c476897e9346bc5d3eac","6NJ8-V_lnd0.4-beta","50.109.202.239","North America","United States","Missouri","Saint Joseph",52.4781165,13.3738896
"4","03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e",1000,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","enthusiast","70.29.131.217","North America","Canada","Alberta","Calgary",51.0486151,-114.0708459,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e",1000,"020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e","E-PARA.NET","173.249.28.20","North America","United States","New Jersey","Harrington Park",-34.02769,150.73081
"5","03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","031c527494f295220d26a1814c18e7db3f4f03203ce1a53a0b74b52ed570a3972a",1000,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","enthusiast","70.29.131.217","North America","Canada","Alberta","Calgary",51.0486151,-114.0708459,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","031c527494f295220d26a1814c18e7db3f4f03203ce1a53a0b74b52ed570a3972a",1000,"031c527494f295220d26a1814c18e7db3f4f03203ce1a53a0b74b52ed570a3972a","Plasma???Genesis","24.4.228.213","North America","United States","New York","Sunnyside",40.7432759,-73.9196324
"6","03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","0250373555232cec757ea141273e75381c84cc3ab22f1e3a3ca5a2dc55b1904c24",1000,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","enthusiast","70.29.131.217","North America","Canada","Alberta","Calgary",51.0486151,-114.0708459,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","0250373555232cec757ea141273e75381c84cc3ab22f1e3a3ca5a2dc55b1904c24",1000,"0250373555232cec757ea141273e75381c84cc3ab22f1e3a3ca5a2dc55b1904c24","HOPEFULPORTAL","92.110.144.95","Europe","United Kingdom","England","Cannock",52.6999408,-2.0218293
"7","03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","027e9923151c58a7dfed9c2cd521587dbd0f0928f548b7853dde7475c21ad3a786",1000,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","enthusiast","70.29.131.217","North America","Canada","Alberta","Calgary",51.0486151,-114.0708459,"03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526","027e9923151c58a7dfed9c2cd521587dbd0f0928f548b7853dde7475c21ad3a786",1000,"027e9923151c58a7dfed9c2cd521587dbd0f0928f548b7853dde7475c21ad3a786","ironroad","35.231.56.75","North America","United States","Michigan","Ann Arbor",42.2808256,-83.7430378
"8","0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","02c0ac82c33971de096d87ce5ed9b022c2de678f08002dc37fdb1b6886d12234b5",1000,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","lightningpay.me","159.65.251.228","North America","United States","District Of Columbia","Washington",47.7510741,-120.7401385,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","02c0ac82c33971de096d87ce5ed9b022c2de678f08002dc37fdb1b6886d12234b5",1000,"02c0ac82c33971de096d87ce5ed9b022c2de678f08002dc37fdb1b6886d12234b5","?????? STAMPERY.com ??????","13.80.67.162","North America","United States","Connecticut","Norwalk",41.117744,-73.4081575
"9","0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432",1000,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","lightningpay.me","159.65.251.228","North America","United States","District Of Columbia","Washington",47.7510741,-120.7401385,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432",1000,"02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432","SLEEPYARK-6-11-21-2360-g044705a5","104.198.32.198","North America","United States","Texas","El Paso",31.7618778,-106.4850217
"10","0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a",1000,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","lightningpay.me","159.65.251.228","North America","United States","District Of Columbia","Washington",47.7510741,-120.7401385,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a",1000,"0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a","TokenSoft.io","34.236.113.58","North America","United States","Texas","Houston",29.7604267,-95.3698028
"11","0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","021f2cbffc4045ca2d70678ecf8ed75e488290874c9da38074f6d378248337062b",1000,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","lightningpay.me","159.65.251.228","North America","United States","District Of Columbia","Washington",47.7510741,-120.7401385,"0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a","021f2cbffc4045ca2d70678ecf8ed75e488290874c9da38074f6d378248337062b",1000,"021f2cbffc4045ca2d70678ecf8ed75e488290874c9da38074f6d378248337062b","ThrobbingSausage","47.184.129.94","North America","Canada","Ontario","Ottawa",45.4215296,-75.6971931
"12","0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a","02844b6ce10197a478834444fa13ef594a4ff44636ddc89a8511f42202f861e2e7",1000,"0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a","TokenSoft.io","34.236.113.58","North America","United States","Texas","Houston",29.7604267,-95.3698028,"0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a","02844b6ce10197a478834444fa13ef594a4ff44636ddc89a8511f42202f861e2e7",1000,"02844b6ce10197a478834444fa13ef594a4ff44636ddc89a8511f42202f861e2e7","02844b6ce10197a47883","207.246.113.225","North America","United States","California","Redwood City",37.4852152,-122.2363548
