height,lightning_nodes,lightning_channels,segwit_percentage,segwit_inputs,total_inputs,lightning_channels_funded
514311,839,4754,0.00,0,1,0
514309,839,4754,40.60,108,266,4
514309,839,4754,40.60,108,266,4
514308,839,4754,31.47,556,1767,5
514307,839,4754,26.92,63,234,1
514305,839,4754,26.80,1396,5208,21
514304,837,4740,27.74,124,447,0
514303,836,4730,19.90,241,1211,2
514302,836,4730,15.38,86,559,3
514301,836,4730,17.53,285,1626,1
514300,836,4724,26.25,824,3139,12
514299,836,4724,20.61,1141,5535,11
514298,836,4724,26.25,1430,5448,11
514297,836,4716,22.03,763,3464,7
514296,834,4700,34.38,44,128,0
514295,831,4650,28.21,11,39,0
514293,831,4650,39.50,1821,4610,10
514292,831,4650,20.64,584,2830,15
514291,830,4644,17.77,640,3602,20
514290,830,4644,22.74,1424,6261,10
514289,829,4638,14.02,790,5633,6
514288,829,4638,25.79,1425,5525,7
514287,829,4638,35.80,2009,5611,9
514286,829,4636,20.86,1109,5317,5
514284,828,4622,22.60,1259,5571,7
514283,826,4618,26.00,1490,5731,4
514282,826,4618,19.67,989,5028,14
514281,826,4618,21.81,1181,5415,9
514280,826,4618,19.60,1075,5484,15
514279,826,4606,52.88,3476,6573,2
514278,826,4606,95.32,9770,10250,3
514277,826,4592,77.08,6280,8147,5
514276,826,4592,17.87,989,5535,12
514275,825,4582,29.60,349,1179,1
514274,822,4570,14.60,33,226,2
514271,822,4570,18.40,321,1745,4
514271,822,4570,18.40,321,1745,4
514270,822,4568,15.04,703,4673,9
514269,822,4568,14.74,765,5190,7
514268,822,4568,34.14,1407,4121,7
514264,821,4564,22.86,355,1553,3
514263,820,4564,21.72,696,3205,6
514262,820,4564,67.59,1147,1697,17
514261,820,4556,0.03,1,3764,0
514260,819,4556,23.73,1294,5454,5
514259,819,4556,25.64,1581,6165,9
514258,818,4554,14.97,381,2545,3
514257,818,4554,10.78,485,4500,10
514256,815,4540,18.21,1000,5492,11
514252,815,4536,14.22,540,3797,10
514251,815,4536,26.45,1287,4865,9
514248,815,4536,8.32,315,3788,2
514247,814,4534,8.04,209,2599,2
514246,814,4534,4.10,85,2074,7
514245,814,4534,5.21,131,2515,12
514244,814,4534,22.95,257,1120,3
514243,812,4528,27.59,1391,5041,5
514241,812,4528,16.75,879,5248,12
514237,811,4526,17.27,448,2594,7
514234,811,4520,16.24,435,2678,13
514233,811,4520,18.93,209,1104,2
514230,811,4518,29.99,443,1477,10
514225,811,4514,21.78,159,730,3
514224,811,4514,35.90,411,1145,2
514220,811,4510,20.90,675,3229,9
514219,811,4510,23.73,14,59,0
514218,811,4510,20.29,28,138,0
514216,811,4510,17.92,401,2238,7
514216,811,4510,17.92,401,2238,7
514215,811,4508,20.92,210,1004,3
514214,811,4502,22.01,274,1245,6
514213,810,4502,19.79,462,2335,8
514211,809,4500,25.52,171,670,5
514210,808,4492,23.03,178,773,6
514207,807,4492,30.56,143,468,2
514205,807,4482,11.27,438,3887,17
514204,807,4482,21.24,315,1483,9
514203,807,4480,39.94,276,691,3
